1	0	0
2	0	0
3	0	0
4	0	0
6	1	0
7	1	0
9	2	0
10	2	0
11	3	0
12	3	0
14	4	0
15	4	0
17	6	0
19	7	0
21	9	0
23	10	0
26	11	0
28	12	0
30	14	0
32	15	0
34	17	0
35	17	0
37	19	0
38	19	0
39	21	0
41	21	0
42	23	0
44	23	0
45	26	0
47	26	0
48	28	0
50	28	0
51	30	0
52	30	0
54	32	0
55	32	0
58	34	0
59	35	0
60	35	0
62	35	0
64	37	0
65	38	0
66	38	0
67	38	0
70	39	0
71	41	0
72	41	0
74	41	0
76	42	0
77	44	0
78	44	0
79	44	0
82	45	0
83	45	0
84	45	0
85	47	0
87	48	0
89	48	0
90	48	0
91	50	0
94	51	0
95	51	0
96	51	0
97	52	0
99	54	0
101	54	0
102	54	0
103	55	0
105	58	0
107	58	0
109	59	0
110	59	0
112	60	0
113	60	0
114	62	0
115	62	0
117	64	0
118	64	0
121	65	0
122	65	0
124	66	0
125	66	0
126	67	0
127	67	0
129	70	0
131	70	0
133	71	0
134	71	0
136	72	0
137	72	0
138	74	0
139	74	0
141	76	0
142	76	0
145	77	0
146	77	0
148	78	0
149	78	0
150	79	0
151	79	0
154	82	0
155	82	0
157	83	0
159	84	0
160	84	0
163	85	0
164	85	0
166	87	0
167	87	0
168	89	0
171	90	0
172	90	0
174	91	0
176	91	0
178	94	0
179	94	0
180	95	0
181	95	0
184	96	0
187	97	0
188	97	0
190	99	0
191	99	0
192	101	0
193	101	0
195	102	0
198	103	0
200	103	0
201	105	0
203	105	0
204	105	0
205	107	0
209	110	0
211	112	0
213	113	0
216	114	0
218	115	0
219	117	0
221	117	0
222	117	0
223	118	0
225	121	0
229	124	0
231	125	0
234	126	0
236	127	0
238	129	0
239	129	0
240	129	0
241	131	0
243	133	0
245	134	0
249	137	0
252	138	0
254	139	0
256	141	0
257	141	0
258	141	0
259	142	0
261	145	0
263	146	0
265	148	0
270	150	0
272	151	0
273	154	0
275	155	0
278	157	0
280	159	0
282	160	0
284	163	0
285	164	0
286	164	0
287	164	0
289	166	0
291	167	0
294	168	0
296	171	0
298	172	0
300	174	0
301	176	0
302	176	0
303	176	0
305	178	0
307	179	0
310	180	0
312	181	0
314	184	0
316	187	0
317	188	0
318	188	0
320	188	0
321	190	0
323	191	0
326	192	0
328	193	0
330	195	0
332	198	0
333	200	0
334	200	0
336	200	0
338	201	0
339	201	0
340	203	0
341	203	0
343	204	0
344	204	0
346	205	0
348	205	0
350	209	0
351	209	0
352	211	0
354	211	0
355	213	0
357	213	0
358	216	0
359	216	0
361	218	0
362	218	0
365	219	0
366	219	0
367	221	0
368	221	0
370	222	0
371	222	0
373	223	0
375	223	0
377	225	0
378	225	0
379	229	0
381	229	0
382	231	0
384	231	0
385	234	0
387	234	0
388	236	0
390	236	0
392	238	0
393	238	0
394	239	0
395	239	0
397	240	0
398	240	0
401	241	0
402	241	0
404	243	0
405	243	0
407	245	0
409	249	0
